,id,price,neighbourhood_group_cleansed,latitude,longitude,bathrooms,availability_30,beds,bedrooms,review_scores_value,bed_type,minimum_nights,maximum_nights,availability_365,property_type,is_business_travel_ready,cleaning_fee,room_type,square_feet,guests_included
1886,2599765,$159.00,Mitte,52.52554167077911,13.343197749835275,2.0,5,5.0,4.0,9.0,Real Bed,2,1125,264,Apartment,f,$150.00,Entire home/apt,,4
8537,12789132,$59.00,Friedrichshain-Kreuzberg,52.49207582914566,13.416864857092946,1.0,0,1.0,1.0,,Real Bed,5,1125,0,Apartment,f,,Entire home/apt,,1
6829,9859873,$250.00,Mitte,52.53616443350171,13.405915067560045,2.0,0,3.0,3.0,10.0,Real Bed,3,1125,0,Condominium,f,$50.00,Entire home/apt,,1
10774,16233082,$30.00,Neukölln,52.47213681962754,13.442834330478856,1.0,12,1.0,1.0,10.0,Real Bed,2,93,333,Apartment,f,,Private room,,1
16829,22476940,$30.00,Mitte,52.529972690294144,13.344646028927755,1.0,22,1.0,1.0,10.0,Real Bed,2,10,74,Apartment,f,$0.00,Private room,,1
4176,6488671,$70.00,Pankow,52.55305436179121,13.470003992830335,1.0,0,3.0,2.0,9.0,Real Bed,2,30,0,Apartment,f,$20.00,Entire home/apt,,2
2236,3435726,$32.00,Friedrichshain-Kreuzberg,52.51773852991139,13.46213664815427,1.0,0,2.0,1.0,10.0,Real Bed,1,1125,0,Apartment,f,,Private room,,1
2853,4326393,$50.00,Friedrichshain-Kreuzberg,52.499001937935034,13.418706806723499,1.0,5,1.0,1.0,9.0,Real Bed,3,365,17,Apartment,f,,Private room,,2
7453,10916382,$80.00,Friedrichshain-Kreuzberg,52.48655086191523,13.39185786116277,1.0,0,2.0,1.0,,Real Bed,1,1125,0,Apartment,f,,Private room,,1
16277,22032416,$80.00,Mitte,52.52746876421102,13.410634829820971,1.0,4,1.0,1.0,8.0,Real Bed,1,15,11,Apartment,f,$10.00,Private room,,1
15727,21528592,$18.00,Mitte,52.56053459863686,13.382527272425726,1.0,0,1.0,1.0,,Real Bed,3,30,0,Apartment,f,$0.00,Private room,,1
15834,21640719,$70.00,Pankow,52.53397600250081,13.428812472896954,1.0,18,1.0,1.0,9.0,Real Bed,1,1125,38,Apartment,f,$30.00,Entire home/apt,,1
11427,17115854,$100.00,Friedrichshain-Kreuzberg,52.4868049952743,13.383196800296053,1.0,0,2.0,1.0,9.0,Real Bed,15,18,0,Apartment,f,$20.00,Entire home/apt,,1
19157,25366572,$38.00,Steglitz - Zehlendorf,52.45105429705786,13.307962467919653,1.0,0,1.0,0.0,10.0,Real Bed,1,10,0,Apartment,f,$0.00,Private room,,1
2453,3738812,$85.00,Friedrichshain-Kreuzberg,52.490789875896795,13.414352938651676,1.0,0,1.0,1.0,9.0,Real Bed,3,1125,0,Apartment,f,$35.00,Entire home/apt,,2
4314,6670158,$35.00,Charlottenburg-Wilm.,52.510183088079565,13.301520761005966,1.0,0,2.0,1.0,9.0,Real Bed,3,1125,0,Condominium,f,$25.00,Entire home/apt,,2
21289,28336202,$35.00,Tempelhof - Schöneberg,52.45533337147831,13.381354142672961,1.5,19,1.0,1.0,10.0,Real Bed,2,7,27,Apartment,f,,Private room,,1
8076,11848387,$41.00,Mitte,52.54324351028618,13.364501791145136,1.0,0,2.0,1.0,9.0,Real Bed,2,1125,0,Apartment,f,$0.00,Private room,,1
8552,12830041,$24.00,Mitte,52.53430685631374,13.345205236252054,1.0,0,1.0,1.0,9.0,Real Bed,3,4,0,Apartment,f,$10.00,Private room,,1
18101,23833469,$59.00,Mitte,52.54060784855864,13.370501185410108,1.0,0,1.0,1.0,10.0,Real Bed,1,6,0,Apartment,f,$45.00,Private room,,1
8481,12656667,$300.00,Treptow - Köpenick,52.48916262882325,13.452335991572747,0.5,0,1.0,1.0,,Real Bed,1,1125,0,Apartment,f,,Private room,,1
22543,29853463,$29.00,Neukölln,52.46951697278576,13.44253932559493,1.0,19,1.0,1.0,,Real Bed,2,30,79,Apartment,f,,Shared room,,1
18323,24082276,$45.00,Friedrichshain-Kreuzberg,52.49086191489611,13.437968814030045,1.0,0,2.0,1.0,10.0,Real Bed,2,5,10,Apartment,f,$35.00,Entire home/apt,,1
16024,21814578,$111.00,Pankow,52.533403833028935,13.42361238543079,2.0,0,4.0,3.0,,Real Bed,6,16,0,Apartment,f,$50.00,Entire home/apt,,1
8585,12909641,$40.00,Charlottenburg-Wilm.,52.471499549119436,13.315118670136053,1.0,0,1.0,1.0,10.0,Real Bed,1,3,0,Apartment,f,,Private room,,1
20,28268,$90.00,Friedrichshain-Kreuzberg,52.51338523184102,13.469947507779649,1.0,0,4.0,2.0,9.0,Real Bed,5,1125,55,Apartment,f,$50.00,Entire home/apt,0.0,4
10579,15985443,$69.00,Lichtenberg,52.51807340028431,13.478950888873362,1.5,1,1.0,1.0,10.0,Real Bed,4,1125,298,Apartment,f,$35.00,Entire home/apt,,1
10502,15860972,$45.00,Steglitz - Zehlendorf,52.46302590861143,13.339999901991215,1.0,6,2.0,1.0,9.0,Real Bed,28,1125,311,Apartment,f,$40.00,Entire home/apt,,2
19825,26483128,$38.00,Mitte,52.55390860306918,13.34615349877856,1.0,6,2.0,1.0,10.0,Real Bed,1,1125,6,Apartment,f,$20.00,Private room,,1
5386,7820609,$20.00,Pankow,52.53651663099009,13.435432586335551,1.0,0,1.0,1.0,,Couch,1,1125,0,Apartment,f,,Private room,,1
17595,23315139,$55.00,Friedrichshain-Kreuzberg,52.50800060384986,13.455053645653269,1.0,0,2.0,1.0,10.0,Real Bed,3,30,8,Apartment,f,$20.00,Entire home/apt,,3
7723,11383656,$40.00,Pankow,52.54163035014373,13.425359785118554,1.0,3,1.0,0.0,9.0,Real Bed,2,1125,121,Apartment,f,$35.00,Entire home/apt,,1
14617,20585204,$30.00,Pankow,52.546558478161785,13.441577168670024,1.0,0,2.0,1.0,9.0,Real Bed,4,1125,0,Apartment,f,$5.00,Entire home/apt,,2
9725,14469380,$53.00,Treptow - Köpenick,52.48146121757095,13.48301408556608,1.0,0,2.0,1.0,10.0,Real Bed,1,3,0,Apartment,f,,Entire home/apt,,1
17534,23261444,$65.00,Pankow,52.53810743959037,13.426613590108259,1.0,0,1.0,1.0,10.0,Real Bed,1,7,0,Apartment,f,$17.00,Entire home/apt,,1
5278,7727493,$22.00,Treptow - Köpenick,52.49165257662549,13.448227422300315,1.0,0,1.0,1.0,,Real Bed,6,1125,0,Apartment,f,,Private room,,1
16468,22186806,$75.00,Neukölln,52.478103793654725,13.424946149517874,1.0,0,2.0,1.0,,Real Bed,1,1125,0,Apartment,f,,Entire home/apt,,1
5133,7606894,$70.00,Mitte,52.556680118646916,13.343063522163137,1.5,0,3.0,2.0,10.0,Real Bed,1,1125,0,Apartment,f,$50.00,Entire home/apt,,1
22380,29696183,$17.00,Mitte,52.51604680670848,13.424887259315586,1.0,18,6.0,1.0,,Real Bed,1,13,61,Hostel,f,$0.00,Shared room,,1
863,906460,$145.00,Friedrichshain-Kreuzberg,52.503386711062404,13.3880597459917,1.0,7,1.0,2.0,9.0,Real Bed,3,1125,308,Apartment,f,$55.00,Entire home/apt,,4
871,913865,$60.00,Charlottenburg-Wilm.,52.518715083556735,13.302196814580642,1.0,10,1.0,1.0,9.0,Real Bed,4,180,87,Apartment,f,$50.00,Entire home/apt,484.0,2
1508,1955484,$130.00,Mitte,52.535151372843075,13.40206947271992,1.0,11,2.0,2.0,8.0,Real Bed,2,7,330,Apartment,f,$60.00,Entire home/apt,,1
10493,15848205,$80.00,Neukölln,52.484393810483816,13.428199013214007,1.0,0,1.0,1.0,10.0,Real Bed,2,7,0,Apartment,f,$40.00,Entire home/apt,,1
16560,22253743,$90.00,Pankow,52.54076149716263,13.425052780969207,1.0,19,3.0,0.0,7.0,Real Bed,1,1125,165,Apartment,f,$25.00,Entire home/apt,,1
11193,16719901,$26.00,Steglitz - Zehlendorf,52.45870429131296,13.313612125936814,1.0,0,1.0,1.0,9.0,Real Bed,60,1125,280,Apartment,f,$40.00,Entire home/apt,,1
22242,29531903,$39.00,Charlottenburg-Wilm.,52.51278605908485,13.306040743142052,1.0,4,2.0,1.0,,Real Bed,1,1125,4,Apartment,f,,Entire home/apt,,1
18068,23786884,$80.00,Reinickendorf,52.63188565531189,13.265081850029087,1.0,24,4.0,1.0,9.0,Real Bed,2,30,170,Loft,f,$35.00,Entire home/apt,,1
9298,13946722,$39.00,Neukölln,52.466551261032045,13.43338812218545,1.0,0,1.0,1.0,9.0,Real Bed,2,1125,0,Apartment,f,,Private room,,1
4124,6417916,$50.00,Mitte,52.55035608236351,13.380116025223186,1.0,0,1.0,1.0,10.0,Real Bed,12,1125,0,Apartment,f,,Entire home/apt,,1
11961,17776269,$80.00,Friedrichshain-Kreuzberg,52.49627590198314,13.412808351961294,1.5,0,1.0,1.0,10.0,Real Bed,3,1125,28,Loft,f,$50.00,Entire home/apt,,1
2466,3770771,$40.00,Friedrichshain-Kreuzberg,52.48744079004522,13.387071635741716,1.0,0,1.0,1.0,,Futon,7,14,0,Apartment,f,$15.00,Private room,,1
4216,6561278,$80.00,Tempelhof - Schöneberg,52.49666847283669,13.348664633086901,1.0,29,1.0,1.0,9.0,Real Bed,90,1125,364,Apartment,f,$30.00,Entire home/apt,,1
8877,13373503,$38.00,Charlottenburg-Wilm.,52.48105670512226,13.325747291721838,1.0,0,1.0,1.0,8.0,Real Bed,6,9,0,Apartment,f,,Entire home/apt,,1
7103,10177234,$20.00,Friedrichshain-Kreuzberg,52.51378334394902,13.462110176151974,1.0,0,1.0,1.0,,Futon,4,1125,0,Apartment,f,,Private room,,1
5375,7807180,$85.00,Treptow - Köpenick,52.49043795878503,13.453989268583154,1.0,0,6.0,2.0,,Real Bed,20,60,0,Apartment,f,$100.00,Entire home/apt,,4
18576,24502473,$60.00,Pankow,52.53790040858885,13.427590412902429,1.0,12,1.0,1.0,7.0,Real Bed,2,1125,21,Apartment,f,$55.00,Entire home/apt,,1
